id,title,release_date,release_year,runtime,budget,revenue,target_revenue,log_budget,runtime,release_month,log_popularity,vote_average,log_vote_count,cast_count,genre_Drama,genre_Comedy,genre_Thriller,genre_Action,genre_Romance,genre_Adventure,genre_Crime,genre_Science Fiction,genre_Horror,genre_Family,genre_Fantasy,genre_Mystery,genre_Animation,genre_History,genre_Music
10428,Hackers,1995-09-14,1995.0,107.0,20000000.0,7563728.0,7563728.0,16.811242881518265,107.0,9.0,2.760675478007054,6.2,6.008813185442595,25,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
9886,Johnny Mnemonic,1995-05-26,1995.0,97.0,25000000.0,19075720.0,19075720.0,17.034386422832473,97.0,5.0,2.54285066237184,5.5,5.942799375126701,38,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0
9482,Judge Dredd,1995-06-30,1995.0,96.0,90000000.0,113493481.0,113493481.0,18.31532023940565,96.0,6.0,2.217551576929134,5.4,6.467698726104354,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19326,Jury Duty,1995-04-12,1995.0,88.0,0.0,17014653.0,17014653.0,0.0,88.0,4.0,1.5426399874315386,4.0,3.5553480614894135,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9344,Kids,1995-07-28,1995.0,91.0,1500000.0,7412216.0,7412216.0,14.220976332738882,91.0,7.0,1.771194791645298,6.8,5.638354669333745,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9071,Living in Oblivion,1995-01-20,1995.0,89.0,500000.0,1148752.0,1148752.0,13.122365377402328,89.0,1.0,2.4031838996887434,7.2,4.174387269895637,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47608,Mad Love,1995-05-26,1995.0,95.0,0.0,15453274.0,15453274.0,0.0,95.0,5.0,1.287791113897384,5.5,3.332204510175204,29,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2293,Mallrats,1995-10-20,1995.0,94.0,6000000.0,2122561.0,2122561.0,15.607270193858982,94.0,10.0,2.2252147280963754,6.8,5.993961427306569,18,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
9070,Mighty Morphin Power Rangers: The Movie,1995-06-30,1995.0,92.0,15000000.0,66000000.0,66000000.0,16.52356082573315,92.0,6.0,2.0824653403890876,5.2,5.0369526024136295,12,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0
48787,Mute Witness,1995-09-28,1995.0,95.0,2.0,1.0,1.0,1.0986122886681098,95.0,9.0,1.2430202332356006,6.4,3.6109179126442243,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1642,The Net,1995-07-28,1995.0,114.0,22000000.0,110627965.0,110627965.0,16.906553056777135,114.0,7.0,2.6605631275413066,5.6,5.886104031450156,32,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
11472,Nine Months,1995-07-12,1995.0,103.0,0.0,69660733.0,69660733.0,0.0,103.0,7.0,2.2494832167394128,5.5,5.147494476813453,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
